candidate_id,c_value,fold,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,confusion_matrix,train_f1_weighted,generalization_gap,recall_gap,feature_fit_seconds,feature_transform_seconds,classifier_fit_seconds,training_seconds,prediction_seconds,n_iter
linear_svm_c_0_25,0.25,3,639,320,319,0.9045383411580594,0.9112948726501222,0.9045383411580594,0.9041340067682301,0.8587257617728532,0.96875,0.9104258443465492,0.9640287769784173,0.8401253918495298,0.897822445561139,10,51,"[[310, 10], [51, 268]]",0.9949138338118004,0.09077982704357035,0.12862460815047017,6.659333100018557,1.203619699983392,0.20796059997519478,6.867293699993752,0.003353399981278926,19
linear_svm_c_0_5,0.5,3,639,320,319,0.9014084507042254,0.9068488248360977,0.9014084507042254,0.9010677587547913,0.8599439775910365,0.959375,0.9069423929098966,0.9539007092198581,0.8432601880877743,0.8951747088186356,13,50,"[[307, 13], [50, 269]]",0.9984350509404388,0.09736729218564755,0.11611481191222572,6.659333100018557,1.203619699983392,0.29520639998372644,6.954539500002284,0.002522099995985627,29
linear_svm_c_1_0,1.0,3,639,320,319,0.9092331768388107,0.9133668728309746,0.9092331768388107,0.9089978078961483,0.8721590909090909,0.959375,0.9136904761904762,0.9547038327526133,0.8589341692789969,0.9042904290429042,13,45,"[[307, 13], [45, 274]]",0.9992175269074619,0.09021971901131365,0.10044083072100307,6.659333100018557,1.203619699983392,0.39581369998632,7.055146800004877,0.002577600011136383,49
linear_svm_c_2_0,2.0,3,639,320,319,0.9123630672926447,0.9155433979765679,0.9123630672926447,0.912188430035949,0.8793103448275862,0.95625,0.9161676646706587,0.9518900343642611,0.8683385579937304,0.9081967213114754,14,42,"[[306, 14], [42, 277]]",1.0,0.08781156996405104,0.08791144200626966,6.659333100018557,1.203619699983392,0.5784308000002056,7.237763900018763,0.004165400052443147,82
linear_svm_c_4_0,4.0,3,639,320,319,0.9154929577464789,0.9182526753172272,0.9154929577464789,0.915347410376408,0.884393063583815,0.95625,0.918918918918919,0.9522184300341296,0.8746081504702194,0.9117647058823529,14,40,"[[306, 14], [40, 279]]",1.0,0.08465258962359201,0.0816418495297806,6.659333100018557,1.203619699983392,1.0351322999922559,7.694465400010813,0.003681000031065196,142
linear_svm_c_0_25,0.25,4,639,319,320,0.9092331768388107,0.9124121822685795,0.9092331768388107,0.9090648229007798,0.8760806916426513,0.9529780564263323,0.9129129129129129,0.9486301369863014,0.865625,0.9052287581699346,15,43,"[[304, 15], [43, 277]]",0.9949137761990267,0.08584895329824682,0.08735305642633229,7.49413619999541,1.3620043999981135,0.22715980000793934,7.721296000003349,0.002668100001756102,19
linear_svm_c_0_5,0.5,4,639,319,320,0.9061032863849765,0.9084183349776911,0.9061032863849765,0.9059761848579344,0.8775510204081632,0.9435736677115988,0.9093655589123867,0.9391891891891891,0.86875,0.9025974025974026,18,42,"[[301, 18], [42, 278]]",0.9988262883849807,0.09285010352704626,0.07482366771159876,7.49413619999541,1.3620043999981135,0.2967286999919452,7.790864899987355,0.0043620000360533595,30
linear_svm_c_1_0,1.0,4,639,319,320,0.9092331768388107,0.9108516718139055,0.9092331768388107,0.9091486308225314,0.8849557522123894,0.9404388714733543,0.9118541033434651,0.9366666666666666,0.878125,0.9064516129032258,19,39,"[[300, 19], [39, 281]]",1.0,0.09085136917746861,0.06231387147335421,7.49413619999541,1.3620043999981135,0.46182750002481043,7.95596370002022,0.004582100023981184,52
linear_svm_c_2_0,2.0,4,639,319,320,0.9045383411580594,0.9059826906333495,0.9045383411580594,0.9044583212380014,0.8816568047337278,0.9341692789968652,0.9071537290715372,0.9302325581395349,0.875,0.9017713365539453,21,40,"[[298, 21], [40, 280]]",1.0,0.0955416787619986,0.05916927899686519,7.49413619999541,1.3620043999981135,0.6783584000077099,8.17249460000312,0.0027726999833248556,94
linear_svm_c_4_0,4.0,4,639,319,320,0.9045383411580594,0.9059826906333495,0.9045383411580594,0.9044583212380014,0.8816568047337278,0.9341692789968652,0.9071537290715372,0.9302325581395349,0.875,0.9017713365539453,21,40,"[[298, 21], [40, 280]]",1.0,0.0955416787619986,0.05916927899686519,7.49413619999541,1.3620043999981135,1.2366724999737926,8.730808699969202,0.0025115999742411077,169
linear_svm_c_0_25,0.25,5,639,320,319,0.9092331768388107,0.9119503507704521,0.9092331768388107,0.9090768481820677,0.8786127167630058,0.95,0.9129129129129129,0.9453924914675768,0.8683385579937304,0.9052287581699346,16,42,"[[304, 16], [42, 277]]",0.9953050608358315,0.08622821265376379,0.08166144200626957,7.998698100040201,1.481400799995754,0.18755259999306872,8.18625070003327,0.002682099991943687,19
linear_svm_c_0_5,0.5,5,639,320,319,0.9123630672926447,0.9155433979765679,0.9123630672926447,0.912188430035949,0.8793103448275862,0.95625,0.9161676646706587,0.9518900343642611,0.8683385579937304,0.9081967213114754,14,42,"[[306, 14], [42, 277]]",0.9980438109807102,0.0858553809447612,0.08791144200626966,7.998698100040201,1.481400799995754,0.30012789997272193,8.298826000012923,0.003134800004772842,29
linear_svm_c_1_0,1.0,5,639,320,319,0.9139280125195618,0.9157154763316087,0.9139280125195618,0.9138305096980524,0.8885630498533724,0.946875,0.9167927382753404,0.9429530201342282,0.8808777429467085,0.9108589951377634,17,38,"[[303, 17], [38, 281]]",0.9996087636333857,0.08577825393533334,0.06599725705329151,7.998698100040201,1.481400799995754,0.4259057000163011,8.424603800056502,0.0026282999897375703,50
linear_svm_c_2_0,2.0,5,639,320,319,0.92018779342723,0.9213743034253101,0.92018779342723,0.9201279338321564,0.8991097922848664,0.946875,0.9223744292237442,0.9437086092715232,0.8934169278996865,0.9178743961352657,17,34,"[[303, 17], [34, 285]]",1.0,0.07987206616784359,0.0534580721003135,7.998698100040201,1.481400799995754,0.7154693999909796,8.71416750003118,0.003721899993252009,85
linear_svm_c_4_0,4.0,5,639,320,319,0.92018779342723,0.9211102567223188,0.92018779342723,0.9201408525487488,0.9014925373134328,0.94375,0.9221374045801527,0.9407894736842105,0.896551724137931,0.9181380417335474,18,33,"[[302, 18], [33, 286]]",1.0,0.07985914745125122,0.04719827586206893,7.998698100040201,1.481400799995754,1.0454391000093892,9.04413720004959,0.0043401000439189374,143
